,City,Cloudiness (%),Country,Date,Humidity,Lat,Lng,Max Temp (°F),Wind Speed (mph)
0,christchurch,100.0,NZ,09-13-2019,100.0,-43.53,172.64,46.99,9.17
1,butaritari,0.0,KI,09-13-2019,65.0,3.07,172.79,83.41,2.46
2,klaksvik,94.0,FO,09-13-2019,81.0,62.23,-6.59,50.0,21.92
3,georgetown,20.0,GY,09-13-2019,66.0,6.8,-58.16,87.8,13.87
4,adrar,40.0,DZ,09-13-2019,16.0,27.87,-0.29,95.0,5.82
5,kapaa,40.0,US,09-13-2019,70.0,22.08,-159.32,84.2,12.75
6,punta arenas,40.0,CL,09-13-2019,42.0,-53.16,-70.91,44.6,11.41
7,esmeraldas,0.0,BR,09-13-2019,18.0,-19.76,-44.31,91.4,12.75
8,hermanus,100.0,ZA,09-13-2019,94.0,-34.42,19.24,53.01,1.99
9,putina,75.0,PE,09-13-2019,47.0,-14.91,-69.87,55.4,11.41
10,quatre cocos,75.0,MU,09-13-2019,83.0,-20.21,57.76,71.01,16.11
11,airai,100.0,TL,09-13-2019,53.0,-8.93,125.41,63.97,4.0
12,burnie,0.0,AU,09-13-2019,83.0,-41.05,145.91,43.99,6.4
13,luoyang,100.0,CN,09-13-2019,68.0,34.66,112.42,61.09,8.7
14,east london,61.0,ZA,09-13-2019,63.0,-33.02,27.91,52.63,11.54
15,khatanga,85.0,RU,09-13-2019,91.0,71.98,102.47,29.05,8.08
16,am timan,37.0,TD,09-13-2019,90.0,11.04,20.28,73.15,4.25
17,arraial do cabo,75.0,BR,09-13-2019,88.0,-22.97,-42.02,73.4,17.22
18,cape town,0.0,ZA,09-13-2019,71.0,-33.93,18.42,55.0,3.36
19,saldanha,100.0,PT,09-13-2019,38.0,41.42,-6.55,70.99,9.64
20,dondo,75.0,MZ,09-13-2019,100.0,-19.62,34.74,73.4,6.93
21,ribeira grande,40.0,PT,09-13-2019,78.0,38.52,-28.7,71.6,10.67
22,huainan,36.0,CN,09-13-2019,92.0,32.59,117.01,74.05,8.95
23,ponta do sol,77.0,BR,09-13-2019,28.0,-20.63,-46.0,82.15,6.51
24,thompson,75.0,CA,09-13-2019,59.0,55.74,-97.86,60.8,5.82
25,newport,1.0,US,09-13-2019,42.0,41.49,-71.31,68.0,9.17
26,olinda,20.0,AU,09-13-2019,93.0,-37.84,145.39,51.01,9.17
27,avera,75.0,US,09-13-2019,46.0,33.19,-82.53,93.2,4.7
